id, pred_mos, trans, wer, pred_phone, ppm
p326_001.txt,4.00063943862915,PLACE CALL STELLA,0.6666666666666666,['p l eɪ s k oː s t ɛ l ɐ'],374.64522232734157
p326_002.txt,4.074558973312378,ASK HER TO BRING THESE THINGS WITH HER FROM THE STORE,0.09090909090909091,['ɑː s k ɚ t ə b ɹ ɪ ŋ n aɪ s ɪ ŋ z w ɪ ð h æ f ɹ ʌ m ð ə s t oː'],591.7321863956387
p326_003_000.txt,4.014528036117554,SIX SPOONS OF FRESH SNOW PAYS,0.16666666666666666,['s ɪ k s p oʊ n z ʌ v f ɹ ɛ ʃ s n oʊ p eɪ z'],612.4597275830171
p326_003_001.txt,3.8058773279190063,FIVE THICK SLABS OF BLUE CHESE,0.16666666666666666,['f aɪ v θ ɪ k s l æ b s ʌ v b l uː tʃ eɪ z'],595.844766758134
p326_003_002.txt,3.845659852027893,AND MAYBE A SNACK FOR HER BROTHER BOB,0.125,['æ m aɪ v iː ɪ z s n æ k f ɚ h ɚ b ɹ a ð ə b oː b'],721.2857702861623
p326_004.txt,3.95869243144989,WEOSA NADE A SMALL PLASTIC SNAKE AND A BIG TOY FROG FOR THE KIDS,0.26666666666666666,['w iː oː l s oʊ n eɪ d ɐ s m oː l p l æ s t ɪ k s n aɪ k ɛ n ɐ b ɪ ɡ t f ɹ ɔ ɡ f ɚ ð ə k ɪ d z'],618.9524893397743
p326_005_000.txt,4.101123213768005,SHE CAN SCOOP THESE THINGS INTO THREE RED BAGS,0.1111111111111111,['ʃ iː k ə n s k oʊ p ð iː z θ ɪ ŋ z ɪ n t ə θ ɹ iː ɹ ɛ d b æ ɡ z'],708.0922486846204
p326_005_001.txt,3.83892560005188,AND WE WILL GO MEET HER WEDNESDAY AT THE TRAIN STATION,0.09090909090909091,['æ n w iː w ʊ ɡ oʊ ə m eɪ t ə w aɪ n s t aɪ ə ð ə t ɹ aɪ n s t eɪ ʃ ə n'],796.4808269019695
p326_006_000.txt,4.083623170852661,WHEN THE SUNLIGHT STRIKES RAINDROPS IN THE AIR,0.125,['w ɛ n ð ə s ʌ n l aɪ t s t ɹ aɪ k s ɹ aɪ n d ɹ ɔ p s ɪ n ð ɪ ɛ'],934.5895486062284
p326_006_001.txt,3.8963528871536255,THEY ACT AS A PRISM AND FORM A RHIMBER,0.1111111111111111,['ð eɪ æ k t æ z ɐ p ɹ ɪ z ə m æ n d f oː m ɐ ɡ ɹ aɪ m b ɚ'],1361.8690672177659
p326_007.txt,4.0075953006744385,THE RAINBOW IS A DIVISION OF WHITE LIGHT INTO MANY BEAUTIFUL COLORS,0.08333333333333333,['ð ə ɹ aɪ m b oʊ ɪ z ɐ d ɪ v ɪ ʒ ə n ʌ v w aɪ t l aɪ t ɪ n z m ɛ n iː b j uː t ɪ f ʊ k ʌ l ə z'],683.1156369438769
p326_008_000.txt,3.973626494407654,THESE TIGHT THE SHAPE OF A LONG ROUND ARCH,0.2222222222222222,['ð eɪ z t aɪ ð ə ʃ aɪ p ʌ v ə l ɔ ŋ ɹ aɪ n d ɑː dʒ'],698.4896924264139
p326_008_001.txt,3.808865785598755,WITH ITS PATH HIGH ABOVE,0.2,['w ɪ ð ɪ ts p ɑː θ h aɪ ə b ʌ v'],740.876851273382
p326_008_002.txt,3.972397565841675,AND ITS TWO ENDS APPARENTLY BEYOND THE HORIZON,0.125,['æ n ɪ ts s t uː ɛ n z ɐ p æ ɹ ə n l i b ɪ ɔ n d ð ɪ h ə ɹ aɪ z ə n'],918.8068272451746
p326_009.txt,4.016266345977783,THERE IS ACCORDING TO LEGEND A BOILING POT OF GOLD AT ONE END,0.21428571428571427,['ð ɛ ɹ ɪ z ɐ k oː ɾ ɪ ŋ t ə l ɛ dʒ ə n d ɐ b oʊ l ɪ ŋ p ɔ t ʌ v ɡ oʊ l d æ t w a n ɛ n d'],637.477074857179
p326_010.txt,3.8388251662254333,PAPE LOOK BUT NO ONE EVER FINDS IT,0.375,['p iː p ɚ l ʊ k b ʌ t n oː w ʌ n ɛ v ɚ f aɪ n d z ɪ t'],616.512253181032
